,Reaction,ModelSEED_id,MetaNetX,KEGG_id,ecNumber,Substrates,Substrate Name,Substrate SMILE
2136,HEX1,rxn00216,MNXR100612,R00299,"2.7.1.1, 2.7.1.2","['atp[c]', 'glc_D[c]']","['ATP', 'D-glucose']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'C(C1C(C(C(C(O1)O)O)O)O)O']"
2137,HEX10,rxn01439,MNXR100613,R01961,"2.7.1.1, 2.7.1.8","['atp[c]', 'gam[c]']","['ATP', 'D-Glucosamine']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'C(C1C(C(C(C(O1)O)N)O)O)O']"
2138,HEX4,rxn00975,MNXR95795,R01326,"2.7.1.1, 2.7.1.7","['atp[c]', 'man[c]']","['ATP', 'D-Mannose']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'C(C1C(C(C(C(O1)O)O)O)O)O']"
2139,HEX7,rxn00547,MNXR100614,R00867,"2.7.1.1, 2.7.1.4","['atp[c]', 'fru[c]']","['ATP', 'D-Fructose']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'C1C(C(C(C(O1)(CO)O)O)O)O']"
2140,HEXSabcpp,,,,,"['atp[c]', 'h2o[c]', 'hexs[p]']","['ATP', 'Water', 'hexanesulfonate']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'O', None]"
2141,HEXStex,,,,,['hexs[e]'],['hexanesulfonate'],[None]
2142,HEXTT,rxn03891,MNXR69238,,2.5.1.30,"['hexdp[c]', 'ipdp[c]']","['all-trans-Hexaprenyl diphosphate', 'Isopentenyl diphosphate']","['CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C)C)C', 'CC(=C)CCOP(=O)(O)OP(=O)(O)O']"
2143,HEXb,rxn01169,MNXR5673,,2.7.1.1,"['atp[c]', 'glc_bD[c]']","['ATP', 'beta D-glucose']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'C(C1C(C(C(C(O1)O)O)O)O)O']"
2144,HG2abcpp,,,,,"['atp[c]', 'h2o[c]', 'hg2[c]']","['ATP', 'Water', 'Hg2+']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'O', '[Hg+2]']"
2145,HG2tex,rxn08717,,,,['hg2[e]'],['Hg2+'],['[Hg+2]']
2146,HIBD,rxn01480,MNXR2960,,1.1.1.31,"['3hmp[c]', 'nad[c]']","['3-hydroxy-2-methylpropanoate', 'Nicotinamide adenine dinucleotide']","['CC(CO)C(=O)[O-]', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
2147,HISCAT1pp,,,,,['his_L[c]'],['L-histidine'],['C1=C(NC=N1)CC(C(=O)O)N']
2148,HISDC,rxn00866,MNXR100581,R01167,"4.1.1.22, 4.1.1.28","['h[c]', 'his_L[c]']","['proton', 'L-histidine']","['[H+]', 'C1=C(NC=N1)CC(C(=O)O)N']"
2149,HISTD,rxn00859,MNXR2968,,1.1.1.23,"['h2o[c]', 'histd[c]', 'nad[c]']","['Water', 'L-Histidinol', 'Nicotinamide adenine dinucleotide']","['O', 'C1=C(NC=N1)CC(CO)N', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
2150,HISTDOX,rxn02159,MNXR58251,,,"['histd[c]', 'nad[c]']","['L-Histidinol', 'Nicotinamide adenine dinucleotide']","['C1=C(NC=N1)CC(CO)N', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
2151,HISTLOX,rxn00863,MNXR59227,,,"['h2o[c]', 'histl_L[c]', 'nad[c]']","['Water', 'L-Histidinal', 'Nicotinamide adenine dinucleotide']","['O', 'C1=C(NC=N1)CC(C=O)N', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
2152,HISTP,rxn02160,MNXR2969,,3.1.3.15,"['h2o[c]', 'hisp[c]']","['Water', 'L-Histidinol phosphate']","['O', 'C1=C(NC=N1)CC(COP(=O)(O)O)N']"
2153,HIS_Ltex,,,,,['his_L[e]'],['L-histidine'],['C1=C(NC=N1)CC(C(=O)O)N']
2154,HISabcpp,,,,,"['atp[c]', 'h2o[c]', 'his_L[p]']","['ATP', 'Water', 'L-histidine']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'O', 'C1=C(NC=N1)CC(C(=O)O)N']"
2155,HISt2pp,,,,,"['h[p]', 'his_L[p]']","['proton', 'L-histidine']","['[H+]', 'C1=C(NC=N1)CC(C(=O)O)N']"
2156,HKNDDH,rxn01895,MNXR71753,,3.7.1.-,"['h2o[c]', 'hkndd[c]']","['Water', '2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate']","['O', 'C(CC(=O)O)C(=O)C=CC=C(C(=O)O)O']"
2157,HKNTDH,rxn04604,MNXR79300,,3.7.1.14,"['h2o[c]', 'hkntd[c]']","['Water', '2-hydroxy-6-ketononatrienedioate']","['O', 'C(=CC(=O)C=CC(=O)O)C=C(C(=O)O)O']"
2158,HKtpp,,,,,"['atp[c]', 'h2o[c]', 'k[p]']","['ATP', 'Water', 'potassium']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'O', '[K]']"
2159,HMBS,rxn00060,MNXR100658,R00084,"2.5.1.61, 4.3.1.8","['h2o[c]', 'ppbng[c]']","['Water', 'Porphobilinogen']","['O', 'C1=C(C(=C(N1)CN)CC(=O)O)CCC(=O)O']"
2160,HMHOR,rxn07883,,,,"['3hmhecoa[c]', 'nad[c]']","['3-Hydroxy-5-methylhex-4-enoyl-CoA', 'Nicotinamide adenine dinucleotide']","['CC(=CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O)C', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
2161,HMPGCOAAL,rxn07879,,,,['3hgcoa[c]'],['3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA'],['CC(=CCCC(CC(=O)O)(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O)C']
2162,HMPK1,rxn02484,MNXR2985,,2.7.1.49,"['4ahmmp[c]', 'atp[c]']","['4-Amino-5-hydroxymethyl-2-methylpyrimidine', 'ATP']","['CC1=NC=C(C(=N1)N)CO', 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N']"
2163,HMR_0366,rxn11724,,,EC:3.1.2.2,"['clpndcoa[c]', 'h2o[c]']","['clupanodonyl CoA', 'Water']","['CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O', 'O']"
2164,HMR_0382,rxn11727,,,EC:3.1.2.2,"['M00012[c]', 'h2o[c]']","['11Z,14Z,17Z-Eicosatrienoyl Coenzyme A', 'Water']","[None, 'O']"
2165,HMR_0414,rxn11726,,,EC:3.1.2.2,"['adrncoa[c]', 'h2o[c]']","['adrenyl coenzyme A', 'Water']","['CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O', 'O']"
2166,HMR_0634,rxn06098,,R02114,EC:2.3.1.43,"['chsterol[c]', 'pchol_hs[c]']","['cholesterol', 'Phosphatidylcholine']","['CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C', None]"
2167,HMR_0767,rxn04378,,,EC:3.1.3.4,"['crmp_hs[c]', 'h2o[c]']","['ceramide 1-phosphate(2-)', 'Water']","[None, 'O']"
2168,HMR_0775,rxn04377,,,EC:3.1.3.4,"['h2o[c]', 'sphs1p[c]']","['Water', 'sphingosine 1-phosphate(1-)']","['O', 'CCCCCCCCCCCCCC=CC(C(COP(=O)(O)[O-])N)O']"
2169,HMR_0795,rxn01844,,,EC:3.1.4.12,"['h2o[c]', 'sphmyln_hs[c]']","['Water', 'sphingomyelin betaine']","['O', None]"
2170,HMR_0819,rxn03462,,R05994,EC:3.2.1.23,"['ga1_hs[c]', 'h2o[c]']","['gibberellin A1(1-)', 'Water']","['CC12C(CCC3(C1C(C45C3CCC(C4)(C(=C)C5)O)C(=O)[O-])OC2=O)O', 'O']"
2171,HMR_0960,rxn04840,,R07034,EC:1.11.1.9,"['5HPET[c]', 'gthrd[c]']","['5(S)-HPETE(1-)', 'Reduced glutathione']","['CCCCCC=CCC=CCC=CC=CC(CCCC(=O)[O-])OO', 'C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N']"
2172,HMR_1710c,rxn14138,,,,"['M00754[c]', 'coa[c]']","['3a,7a-Dihydroxy-5b-24-oxocholestanoyl-CoA', 'Coenzyme A']","['CC(CCC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C4CCC5C4(CCC6C5C(CC7C6(CCC(C7)O)C)O)C', 'CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O']"
2173,HMR_4227,rxn11962,,R02670,EC:1.11.1.6,"['3hanthrn[c]', 'o2[c]']","['3-hydroxyanthranilate', 'O2']","['C1=CC(=C(C(=C1)O)N)C(=O)O', 'O=O']"
2174,HMR_6515,rxn02229,,R03105,EC:2.8.1.2,"['mercppyr[c]', 'so3[c]']","['3-mercaptopyruvate', 'Sulfite']","['C(C(=O)C(=O)O)S', '[O-]S(=O)[O-]']"
2175,HMR_6549,rxn07230,,R07299,EC:3.1.3.66,"['h2o[c]', 'pail34p_hs[c]']","['Water', '1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate(5-)']","['O', None]"
2176,HMR_6550,rxn07174,,,EC:3.1.3.67,"['h2o[c]', 'pail34p_hs[c]']","['Water', '1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate(5-)']","['O', None]"
2177,HMR_6671,rxn11892,,R08381,"['EC:2.3.1.75', 'EC:2.3.1.76', 'EC:2.3.1.135']","['pmtcoa[c]', 'retinol_cis_11[c]']","['Palmitoyl-CoA (n-C16:0CoA)', '11-cis-retinol']","['CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O', 'CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C']"
2178,HMR_6975,rxn06515,,R03875,EC:2.1.1.43,"['amet[c]', 'peplys[c]']","['S-Adenosyl-L-methionine', 'Peptidyl-L-lysine']","['C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O', None]"
2179,HMR_6976,rxn06804,,R04866,EC:2.1.1.43,"['M00213[c]', 'amet[c]']","['Protein N6-Methyl-L-Lysine', 'S-Adenosyl-L-methionine']","[None, 'C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O']"
2180,HMR_7038,rxn04908,,R07105,EC:1.1.1.1,"['M01440[c]', 'h[c]', 'nadh[c]']","['Chloral Hydrate', 'proton', 'Nicotinamide adenine dinucleotide - reduced']","['C(C(Cl)(Cl)Cl)(O)O', '[H+]', None]"
2181,HMR_9492,rxn06633,,R04273,EC:5.2.1.8,['M02709[c]'],['Peptidylproline-(Omega=0)'],[None]
2182,HMR_9522,rxn06624,,R04238,EC:3.1.1.29,"['M02626[c]', 'h2o[c]']","['N-Substituted-Aminoacyl-tRNA', 'Water']","[None, 'O']"
2183,HMR_9549,rxn03091,,R04481,EC:2.1.1.98,"['M02700[c]', 'ahcys[c]', 'h[c]']","['Peptide-2-[3-Carboxy-3-(Methylammonio)Propyl]-L-Histidine', 'S-Adenosyl-L-homocysteine', 'proton']","[None, 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N', '[H+]']"
2184,HMR_9800,rxn02703,,R03819,EC:2.7.1.3,"['M03165[c]', 'atp[c]']","['Sedoheptulose', 'ATP']","['C(C(C(C(C(C(=O)CO)O)O)O)O)O', 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N']"
2185,HMSALDOR,rxn04744,,,,"['2hhmbaldh[c]', 'h2o[c]', 'nad[c]']","['2-Hydroxy-4-hydroxymethyl-benzaldehyde', 'Water', 'Nicotinamide adenine dinucleotide']","['C1=CC(=C(C=C1CO)O)C=O', 'O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
2186,HNALDOR,rxn03921,,,,"['1hnpaldh[c]', 'h2o[c]', 'nad[c]']","['1-Hydroxy-2-naphthaldehyde', 'Water', 'Nicotinamide adenine dinucleotide']","['C1=CC=C2C(=C1)C=CC(=C2O)C=O', 'O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
2187,HOCHCCOAH,rxn03872,,,,"['6ohchccoa[c]', 'h2o[c]']","['6-Oxo-2-hydroxycyclohexane-1-carboxyl-CoA', 'Water']","['CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C4C(CCCC4=O)O)O', 'O']"
2188,HOHPL,rxn03610,,,,"['ppal[c]', 'pyr[c]']","['Propanal', 'Pyruvate']","['CCC=O', 'CC(=O)C(=O)[O-]']"
2189,HOPC4OR,rxn07688,,,,"['3hopc4coa[c]', 'nad[c]']","['3-Hydroxy-OPC4-CoA', 'Nicotinamide adenine dinucleotide']","['CCC=CCC1C(CCC1=O)CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O)O)O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
2190,HOPC6OR,rxn07684,,,,"['3hopc6coa[c]', 'nad[c]']","['3-Hydroxy-OPC6-CoA', 'Nicotinamide adenine dinucleotide']","['CCC=CCC1C(CCC1=O)CCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O)O)O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
2191,HOPC8OR,rxn07680,,,,"['3hopc8coa[c]', 'nad[c]']","['3-Hydroxy-OPC8-CoA', 'Nicotinamide adenine dinucleotide']","['CCC=CCC1C(CCC1=O)CCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O)O)O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
2192,HOPNTAL,rxn00540,MNXR2997,,4.1.3.39,['4h2opntn[c]'],['4-Hydroxy-2-oxopentanoate'],['CC(CC(=O)C(=O)[O-])O']
2193,HPPK,rxn02503,MNXR55638,,2.7.6.3,"['2ahhmp[c]', 'atp[c]']","['2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine', 'ATP']","['C1C(=NC2=C(N1)N=C(NC2=O)N)CO', 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N']"
2194,HPPPNDO,rxn03038,MNXR75896,,1.13.11.16,"['dhpppn[c]', 'o2[c]']","['3-(2,3-Dihydroxyphenyl)propanoate', 'O2']","['C1=CC(=C(C(=C1)O)O)CCC(=O)[O-]', 'O=O']"
2195,HPTHOOR,rxn11838,,,,"['hphtho[c]', 'nad[c]']","['4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one', 'Nicotinamide adenine dinucleotide']","['C1C(C(NC(=O)O1)O)C2=CC=CC=C2', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
2196,HPYRI,rxn01015,MNXR3014,,5.3.1.22,['hpyr[c]'],['3-hydroxypyruvate'],['C(C(=O)C(=O)[O-])O']
2197,HSDx,rxn01301,MNXR3044,,1.1.1.3,"['hom_L[c]', 'nad[c]']","['L-homoserine', 'Nicotinamide adenine dinucleotide']","['C(CO)C(C(=O)O)N', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
2198,HSDy,rxn01302,MNXR3045,,1.1.1.3,"['hom_L[c]', 'nadp[c]']","['L-homoserine', 'Nicotinamide adenine dinucleotide phosphate']","['C(CO)C(C(=O)O)N', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N']"
2199,HSK,rxn01300,MNXR100737,R01771,2.7.1.39,"['atp[c]', 'hom_L[c]']","['ATP', 'L-homoserine']","['C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'C(CO)C(C(=O)O)N']"
2200,HSST,rxn01304,MNXR3051,,2.3.1.46,"['hom_L[c]', 'succoa[c]']","['L-homoserine', 'Succinyl-CoA']","['C(CO)C(C(=O)O)N', 'CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O)O']"
2201,HSTPTr,rxn02320,MNXR31722,,2.6.1.9,"['akg[c]', 'hisp[c]']","['2-Oxoglutarate', 'L-Histidinol phosphate']","['C(CC(=O)O)C(=O)C(=O)O', 'C1=C(NC=N1)CC(COP(=O)(O)O)N']"
2202,HST_37_DIGLC_GLCAASE,,,,,"['h2o[c]', 'hst_37_diglc[c]']","['Water', 'Hesperetin 3,7-Diglucuronide']","['O', None]"
2203,HST_37_DIGLC_GLCAASE2,,,,,"['h2o[c]', 'hst_37_diglc[c]']","['Water', 'Hesperetin 3,7-Diglucuronide']","['O', None]"
2204,HST_37_DIGLCt2pp,,,,,"['h[p]', 'hst_37_diglc[p]']","['proton', 'Hesperetin 3,7-Diglucuronide']","['[H+]', None]"
2205,HST_37_DIGLCtex,,,,,['hst_37_diglc[e]'],"['Hesperetin 3,7-Diglucuronide']",[None]
2206,HST_3GLC_7S_GLCAASE,,,,,"['h2o[c]', 'hst_3glc_7s[c]']","['Water', 'Hesperetin 3-O-Glucuronide 7-Sulfate']","['O', None]"
2207,HST_3GLC_7St2pp,,,,,"['h[p]', 'hst_3glc_7s[p]']","['proton', 'Hesperetin 3-O-Glucuronide 7-Sulfate']","['[H+]', None]"
2208,HST_3GLC_7Stex,,,,,['hst_3glc_7s[e]'],['Hesperetin 3-O-Glucuronide 7-Sulfate'],[None]
2209,HST_3_GLC_GLCAASE,,,,,"['h2o[c]', 'hst_3_glc[c]']","['Water', 'Hesperetin 3-O-Glucuronide (Aglycone Of Hesperidin)']","['O', None]"
2210,HST_3_GLCt2pp,,,,,"['h[p]', 'hst_3_glc[p]']","['proton', 'Hesperetin 3-O-Glucuronide (Aglycone Of Hesperidin)']","['[H+]', None]"
2211,HST_3_GLCtepp,,,,,['hst_3_glc[c]'],['Hesperetin 3-O-Glucuronide (Aglycone Of Hesperidin)'],[None]
2212,HST_3_GLCtex,,,,,['hst_3_glc[e]'],['Hesperetin 3-O-Glucuronide (Aglycone Of Hesperidin)'],[None]
2213,HST_3_Stepp,,,,,['hst_3_s[c]'],['Hesperetin 3-O-Sulfate'],[None]
2214,HST_3_Stex,,,,,['hst_3_s[e]'],['Hesperetin 3-O-Sulfate'],[None]
2215,HST_7GLC_3S_GLCAASE,,,,,"['h2o[c]', 'hst_7glc_3s[c]']","['Water', 'Hesperetin 7-O-Glucuronide 3-Sulfate']","['O', None]"
2216,HST_7GLC_3St2pp,,,,,"['h[p]', 'hst_7glc_3s[p]']","['proton', 'Hesperetin 7-O-Glucuronide 3-Sulfate']","['[H+]', None]"
2217,HST_7GLC_3Stex,,,,,['hst_7glc_3s[e]'],['Hesperetin 7-O-Glucuronide 3-Sulfate'],[None]
2218,HST_7_GLC_GLCAASE,,,,,"['h2o[c]', 'hst_7_glc[c]']","['Water', 'Hesperetin 7-O-Glucuronide (Aglycone Of Hesperidin)']","['O', None]"
2219,HST_7_GLCt2pp,,,,,"['h[p]', 'hst_7_glc[p]']","['proton', 'Hesperetin 7-O-Glucuronide (Aglycone Of Hesperidin)']","['[H+]', None]"
2220,HST_7_GLCtepp,,,,,['hst_7_glc[c]'],['Hesperetin 7-O-Glucuronide (Aglycone Of Hesperidin)'],[None]
2221,HST_7_GLCtex,,,,,['hst_7_glc[e]'],['Hesperetin 7-O-Glucuronide (Aglycone Of Hesperidin)'],[None]
2222,HST_7_Stepp,,,,,['hst_7_s[c]'],['Hesperetin 7-O-Sulfate'],[None]
2223,HST_7_Stex,,,,,['hst_7_s[e]'],['Hesperetin 7-O-Sulfate'],[None]
2224,HSTtepp,,,,,['hst[c]'],['Hesperetin'],['COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O']
2225,HSTtex,,,,,['hst[e]'],['Hesperetin'],['COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O']
2226,HXAND,rxn01297,MNXR100747,R01768,1.17.1.4,"['h2o[c]', 'hxan[c]', 'nad[c]']","['Water', 'Hypoxanthine', 'Nicotinamide adenine dinucleotide']","['O', 'C1=NC2=C(N1)C(=O)NC=N2', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N']"
2227,HXANtex,rxn08737,,,,['hxan[e]'],['Hypoxanthine'],['C1=NC2=C(N1)C(=O)NC=N2']
2228,HXPRT,rxn00836,MNXR100752,R01132,2.4.2.8,"['hxan[c]', 'prpp[c]']","['Hypoxanthine', '5-Phospho-alpha-D-ribose 1-diphosphate']","['C1=NC2=C(N1)C(=O)NC=N2', 'C(C1C(C(C(O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O']"
2229,HYD1pp,,,,,"['h2[c]', 'h[c]', 'q8[c]']","['Hydrogen', 'proton', 'Ubiquinone-8']","['[HH]', '[H+]', 'CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C']"
2230,HYD2pp,,,,,"['h2[c]', 'h[c]', 'mqn8[c]']","['Hydrogen', 'proton', 'Menaquinone 8']","['[HH]', '[H+]', 'CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C']"
2231,HYD3,rxn10117,MNXR69268,,1.12.99.6,"['2dmmq8[c]', 'h2[c]']","['2-Demethylmenaquinone 8', 'Hydrogen']","['CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C2=CC=CC=C2C1=O)C)C)C)C)C)C)C)C', '[HH]']"
2232,HYD4,,,,1.12.7.2,['fdxrd[c]'],['Reduced ferredoxin'],[None]
2233,HYXNtipp,,,,,['hxan[p]'],['Hypoxanthine'],['C1=NC2=C(N1)C(=O)NC=N2']
2234,Htex,rxn08730,,,,['h[e]'],['proton'],['[H+]']
2235,IAHDGK,rxn10254,MNXR28711,,2.7.1.107,"['12daihdglyc[c]', 'atp[c]']","['1,2-Dianteisoheptadecanoyl-sn-glycerol', 'ATP']","[None, 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N']"
2236,IAPDGK,rxn10257,MNXR28714,,2.7.1.107,"['12daipdglyc[c]', 'atp[c]']","['1,2-Dianteisopentadecanoyl-sn-glycerol', 'ATP']","[None, 'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N']"
2237,IBCOATA,rxn05408,MNXR53359,,2.3.1.180,"['ACP[c]', 'ibcoa[c]']","['acyl carrier protein', 'isobutyryl-CoA(4-)']","[None, 'CC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O']"
2238,IBUPGLUC_GLCAASE,,,,,"['h2o[c]', 'ibupgluc[c]']","['Water', 'ibuprofen acyl glucuronide']","['O', 'CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC2C(C(C(C(O2)C(=O)O)O)O)O']"
